No,Sentence,Actor,Action,Data,Purpose,Data Elements
41,The reason of using your personal information includes meeting our legal obligations,[],use,your personal information,meeting our legal obligations,your personal information
42,The reason of using your personal information includes considering making offers for employment purposes,[],use,your personal information,considering making offers for employment purposes,your personal information
43,"The reason of using your personal information includes managing and resolve any legal, consumer or commercial complaints and issues",[],use,your personal information,"managing and resolve any legal, consumer or commercial complaints and issues",your personal information
44,The reason of using your personal information includes carrying out internal functions including training,[],use,your personal information,carrying out internal functions including training,your personal information
45,The way of processing your personal information is providing Coins.ph services and customer support timely and efficiently at your request,[],process,your personal information,providing Coins.ph services and customer support timely and efficiently at your request,your personal information
46,The way of processing your personal information is processing transactions and send notices about your transactions,[],process,your personal information,processing transactions and send notices about your transactions,your personal information
47,"The way of processing your personal information is resolving disputes, collect fees, and troubleshoot problems",[],process,your personal information,"resolving disputes, collect fees, and troubleshoot problems",your personal information
48,The way of processing your personal information is preventing potentially prohibited or illegal activities,[],process,your personal information,preventing potentially prohibited or illegal activities,your personal information
49,"The way of processing your personal information is customizing, measuring, and improving Coins.ph services and the content and layout of our website and applications",[],process,your personal information,"customizing, measuring, and improving Coins.ph services and the content and layout of our website and applications",your personal information
50,"The way of processing your personal information is delivering direct marketing, service update notices, and promotional offers based on your communication preferences",[],process,your personal information,"delivering direct marketing, service update notices, and promotional offers based on your communication preferences",your personal information
51,The way of processing your personal information is comparing information for accuracy and verify it with third-parties,[],process,your personal information,comparing information for accuracy and verify it with third-parties,your personal information
52,The way of processing your personal information is monitoring the quality and security of the network and train our staff,[],process,your personal information,monitoring the quality and security of the network and train our staff,your personal information
53,"Our purpose of collecting the information contains activities necessary for our app or service to maintain, analyze or improve its functioning",[],collect,the information,"activities necessary for our app or service to maintain, analyze or improve its functioning",the information
54,Our purpose of collecting the information contains performing network communications,[],collect,the information,performing network communications,the information
55,Our purpose of collecting the information contains authenticating users,[],collect,the information,authenticating users,the information
56,Our purpose of collecting the information contains serving advertising or cap the frequency of advertising,[],collect,the information,serving advertising or cap the frequency of advertising,the information
57,"Our purpose of collecting the information contains protecting the security or integrity of the user, app, or online service",[],collect,the information,"protecting the security or integrity of the user, app, or online service",the information
58,Our purpose of collecting the information contains ensuring legal or regulatory compliance,[],collect,the information,ensuring legal or regulatory compliance,the information
59,Our way of using the collected data is to provide and maintain the Service,[],collect,the collected data,to provide and maintain the Service,the collected data
60,Our way of using the collected data is to notify you about changes to our Service,[],collect,the collected data,to notify you about changes to our Service,the collected data
61,Our way of using the collected data is to allow you to participate in interactive features of our Service when you choose to do so,[],collect,the collected data,to allow you to participate in interactive features of our Service when you choose to do so,the collected data
62,Our way of using the collected data is to provide customer care and support,[],collect,the collected data,to provide customer care and support,the collected data
63,Our way of using the collected data is to provide analysis or valuable information so that we can improve the Service,[],collect,the collected data,to provide analysis or valuable information so that we can improve the Service,the collected data
64,Our way of using the collected data is to monitor the usage of the Service,[],collect,the collected data,to monitor the usage of the Service,the collected data
65,"Our way of using the collected data is to detect, prevent and address technical issues",[],collect,the collected data,"to detect, prevent and address technical issues",the collected data
66,The reason of collecting includes to provide and improve our Service,[],collect,[],to provide and improve our Service,[]
67,The reason of collecting includes to administer your use of the Service,[],collect,[],to administer your use of the Service,[]
68,The reason of collecting includes to better understand your needs and interests,[],collect,[],to better understand your needs and interests,[]
69,The reason of collecting includes to personalize and improve your experience,[],collect,[],to personalize and improve your experience,[]
70,The reason of collecting includes to provide or offer software updates and product announcements,[],collect,[],to provide or offer software updates and product announcements,[]
71,"The purpose for processing the information we collect about you is to provide you with services, products, or other materials you request",[],process,the information we collect about you,"to provide you with services, products, or other materials you request",the information we collect about you
72,"The purpose for processing the information we collect about you is to communicate with you about our products, services, and promotions",[],process,the information we collect about you,"to communicate with you about our products, services, and promotions",the information we collect about you
73,"The purpose for processing the information we collect about you is to customize your experience with our Services, including by providing you with relevant advertising on our Services and elsewhere",[],process,the information we collect about you,"to customize your experience with our Services, including by providing you with relevant advertising on our Services and elsewhere",the information we collect about you
74,"The purpose for processing the information we collect about you is to manage and improve your shopping experiences and our products, Services and offerings",[],process,the information we collect about you,"to manage and improve your shopping experiences and our products, Services and offerings",the information we collect about you
75,The purpose for processing the information we collect about you is to protect the security and integrity of our Services,[],process,the information we collect about you,to protect the security and integrity of our Services,the information we collect about you
76,The purpose for processing the information we collect about you is to enforce our legal rights,[],process,the information we collect about you,to enforce our legal rights,the information we collect about you
77,The reason of gathering your personal information contains providing and improve our Platform and its features and functionality,[],gather, your personal information,providing and improve our Platform and its features and functionality, your personal information
78,"The reason of gathering your personal information contains displaying content you post publicly, fulfill your purchases through our Platform, process, store, and deliver your communications",[],gather, your personal information,"displaying content you post publicly, fulfill your purchases through our Platform, process, store, and deliver your communications", your personal information
79,The reason of gathering your personal information contains providing customer service and support; to respond to your inquiries or requests,[],gather, your personal information,providing customer service and support; to respond to your inquiries or requests, your personal information
80,The reason of gathering your personal information contains to back-up our systems; and to improve the security of our Platform;,[],gather, your personal information, to back-up our systems; and to improve the security of our Platform;, your personal information
81,The reason of gathering your personal information contains evaluating use of our Platform for our business purposes,[],gather, your personal information,evaluating use of our Platform for our business purposes, your personal information
82,The reason of gathering your personal information contains providing and improve our products and services,[],gather, your personal information,providing and improve our products and services, your personal information
83,"The reason of gathering your personal information contains personalizing your experience, such as tailoring the content and information made available to you and our support services;",[],gather, your personal information,"personalizing your experience, such as tailoring the content and information made available to you and our support services;", your personal information
84,The reason of gathering your personal information contains displaying relevant advertising for us and other businesses,[],gather, your personal information,displaying relevant advertising for us and other businesses, your personal information
85,The reason of gathering your personal information contains evaluating the success of such advertising,[],gather, your personal information,evaluating the success of such advertising, your personal information
86,The reason of gathering your personal information contains providing feedback to professionals and sellers on our Platform,[],gather, your personal information,providing feedback to professionals and sellers on our Platform, your personal information
87,The reason of gathering your personal information contains communicating with you as described in our agreements with you or this Privacy Policy,[],gather, your personal information,communicating with you as described in our agreements with you or this Privacy Policy, your personal information
88,The reason of gathering your personal information contains preventing fraud and to maintain a quality experience for our business purposes or legal reasons,[],gather, your personal information,preventing fraud and to maintain a quality experience for our business purposes or legal reasons, your personal information
89,The reason of gathering your personal information contains filtering for spam and communications that violate our agreements with you,[],gather, your personal information,filtering for spam and communications that violate our agreements with you, your personal information
90,The reason of gathering your personal information contains enforcing compliance with our agreements with you and applicable law,[],gather, your personal information,enforcing compliance with our agreements with you and applicable law, your personal information
91,"The reason of gathering your personal information contains prosecuting or defend a lawsuit, arbitration, or similar legal proceeding",[],gather, your personal information,"prosecuting or defend a lawsuit, arbitration, or similar legal proceeding", your personal information
92,The reason of gathering your personal information contains responding to lawful requests by public authorities,[],gather, your personal information,responding to lawful requests by public authorities, your personal information
93,The reason of gathering your personal information contains performing research and analysis for our business purposes,[],gather, your personal information,performing research and analysis for our business purposes, your personal information
94,The reason of gathering your personal information contains awarding badges and similar designations and if you decide to participate,[],gather, your personal information,awarding badges and similar designations and if you decide to participate, your personal information
95,"The reason of gathering your personal information contains administering surveys, contests, and promotions",[],gather, your personal information,"administering surveys, contests, and promotions", your personal information
96,The purpose for using the data we received includes to facilitate account creation and login process with your Consent,[],use,the data we received,to facilitate account creation and login process with your Consent,the data we received
97,The purpose for using the data we received includes to facilitate account creation and login process with your Consent,[],use,the data we received,to facilitate account creation and login process with your Consent,the data we received
98,The purpose for using the data we received includes to facilitate account creation and login process with your Consent,[],use,the data we received,to facilitate account creation and login process with your Consent,the data we received
99,The purpose for using the data we received includes to facilitate account creation and login process with your Consent,[],use,the data we received,to facilitate account creation and login process with your Consent,the data we received
100,The purpose for using the data we received includes to facilitate account creation and login process with your Consent,[],use,the data we received,to facilitate account creation and login process with your Consent,the data we received
101,our purposes for using personal information include provide our offerings,[],use,personal information,provide our offerings,personal information
102,"our purposes for using personal information include measure , support and improve our offerings",[],use,personal information,"measure , support and improve our offerings",personal information
103,our purposes for using personal information include recommendations and personalization,[],use,personal information,recommendations and personalization,personal information
104,our purposes for using personal information include comply with legal obligations,[],use,personal information,comply with legal obligations,personal information
105,our purposes for using personal information include communicate with you,[],use,personal information,communicate with you,personal information
106,our purposes for using personal information include marketing,[],use,personal information,marketing,personal information
107,our purposes for using personal information include purposes for which we seek your consent,[],use,personal information,purposes for which we seek your consent,personal information
108,these purposes include purchase and delivery of products and service,[],[],[],purchase and delivery of products and service,[]
109,"these purposes include provide , troubleshoot , and improve amazon services",[],[],[],"provide , troubleshoot , and improve amazon services",[]
110,these purposes include recommendations and personalization,[],[],[],recommendations and personalization,[]
111,"these purposes include provide voice , image and camera services",[],[],[],"provide voice , image and camera services",[]
112,these purposes include comply with legal obligations,[],[],[],comply with legal obligations,[]
113,these purposes include communicate with you,[],[],[],communicate with you,[]
114,these purposes include advertising,[],[],[],advertising,[]
115,these purposes include fraud prevention and credit risks,[],[],[],fraud prevention and credit risks,[]
116,the purpose of collecting your data is to provide and improve our platform and its features and functionality,[],collect,your data,to provide and improve our platform and its features and functionality,your data
117,the purpose of collecting your data is to display relevant advertising for us and other businesses and to evaluate the success of such advertising,[],collect,your data,to display relevant advertising for us and other businesses and to evaluate the success of such advertising,your data
118,the purpose of collecting your data is to provide feedback to professionals and sellers on our platform,[],collect,your data,to provide feedback to professionals and sellers on our platform,your data
119,the purpose of collecting your data is to communicate with you as described in our agreements with you or this privacy policy,[],collect,your data,to communicate with you as described in our agreements with you or this privacy policy,your data
120,the purpose of collecting your data is to perform research and analysis for our business purposes,[],collect,your data,for our business purposes,your data
121,"the Company collects Users conditions, photos, cookies, visit dates and times",Company,collects,"Users conditions, photos, cookies, visit dates and times",[],"Users conditions, photos, cookies, visit dates, times"
122,"we ask you to provide your name, your gender, your date of birth, your location details",we,provide,"your name, your gender, your date of birth, your location details",[],"your name, your gender, your date of birth, your location details"
123,"the Service may collect Phone number, birthday, Facebook username, location, use information regarding Your use of the Service and browser information",the Service,collect,"Phone number, birthday, Facebook username, location, use information",[],"Phone number, birthday, Facebook username, location, use information"
124,"We may also collect the URL, IP address, domain types, your browser type, telephone area code, the pages of our website that you visit, the advertisements you clicked on, and any search terms that you entered on our website.",We,collect,"the URL, IP address, domain types, your browser type, telephone area code, the pages of our website that you visit, the advertisements you clicked on, and any search terms",[],"the URL, IP address, domain types, your browser type, telephone area code, the pages of our website that you visit, the advertisements you clicked on, any search terms"
125,"We request name, e-mail address, home address, phone number, gender, date of birth, city and country of birth, driving licence number, class of driving licence, passport number and type and country of issue on passport, flight number",We,request,"name, e-mail address, home address, phone number, gender, date of birth, city and country of birth, driving licence number, class of driving licence, passport number and type and country of issue on passport, flight number",[],"name, e-mail address, home address, phone number, gender, date of birth, city and country of birth, driving licence number, class of driving licence, passport number, type and country of issue on passport, flight number"
126,"we will collect Registration information, your date of birth, phone number, password, user identifier and language",we,collect,"Registration information, your date of birth, phone number, password, user identifier and language",[],"Registration information, your date of birth, phone number, password, user identifier, language"
127,"we will collect Profile information, your alias, profile images, gender, hometown, self-introduction, social media information, education, and career",we,collect,"Profile information, your alias, profile images, gender, hometown, self-introduction, social media information, education, and career",[],"Profile information, your alias, profile images, gender, hometown, self-introduction, social media information, education, career"
128,"we will collect User-generated contents, comments, texts, messages, pictures, images, videos, sounds, code or other data or materials that you upload, distribute or stream on the App when you use Bigo Services",we,collect,"User-generated contents, comments, texts, messages, pictures, images, videos, sounds, code or other data or materials",[],"User-generated contents, comments, texts, messages, pictures, images, videos, sounds, code, other data, materials"
129,"we will collect Payment information, bank account number, Paypal or other payment information where required for payment",we,collect,"Payment information, bank account number, Paypal or other payment information",[],"Payment information, bank account number, Paypal, other payment information"
130,"we will collect Transaction information, the transaction serial number and transaction historical records after you purchased Paid Services",we,collect,"Transaction information, the transaction serial number and transaction historical records",[],"Transaction information, the transaction serial number, transaction historical records"
131,"IRCPL may collect Name including first and last name, email address, mobile phone number and contact details, Postal code, Demographic profile (like your age, gender, occupation, education, address etc.) ",IRCPL,collect,"Name, first and last name, email address, mobile phone number and contact details, Postal code, Demographic profile (like your age, gender, occupation, education, address etc.) ",[],"Name, first and last name, email address, mobile phone number, contact details, Postal code, Demographic profile, your age, gender, occupation, education, address"
132,"IRCPL may collect information about the pages on the site you visit or access, the links you click on the site, the number of times you access the page and any such browsing information.",IRCPL,collect,"information about the pages on the site you visit or access, the links you click on the site, the number of times you access the page and any such browsing information",[],"information about the pages on the site you visit or access, the links you click on the site, the number of times you access the page, any such browsing information"
133,"We may collect your name, postal address, email address, telephone number, and other similar contact data.",we,collect,"name, postal address, email address, telephone number, and other similar contact data",[],"name, postal address, email address, telephone number, other similar contact data"
134,"We may collect certain types of government-issued data from you, including Social Security Numbers, national identification numbers, driver?? license data, and passport data.",we,collect,"government-issued data, Social Security Numbers, national identification numbers, driver?? license data, and passport data",[],"government-issued data, Social Security Numbers, national identification numbers, driver??? license data, passport data"
135,"We may collect when you submit your CV, qualifications and organizational or institutional affiliations, activities performed as part of your professional experience, and your skills;",we,collect,"CV, qualifications and organizational or institutional affiliations, activities performed as part of your professional experience, and your skills",[],"CV, qualifications and organizational or institutional affiliations, activities performed as part of your professional experience, your skills"
136,"We may collect data about you, such as your age, gender, country of origin or residence, and preferred language.",we,collect,"data about you, such as your age, gender, country of origin or residence, and preferred language",[],"data about you, such as your age, gender, country of origin or residence, preferred language"
137,"We may collect data about your professional or personal interests and favorites, such as the websites you visit, your dietary requirements, etc.",we,collect,"data about your professional or personal interests and favorites, such as the websites you visit, your dietary requirements",[],"data about your professional or personal interests and favorites, the websites you visit, your dietary requirements"
138,"We may collect data necessary to process payments, such as a bank account or credit card number.",we,collect,"data, a bank account or credit card number",to process payments,"data, a bank account, credit card number"
139,"We may collect data about our interactions and meetings, such as when you contact us for information and support.",we,collect,data about our interactions and meetings,[],data about our interactions and meetings
140,"We may collect images or videos related to you, including as a result of video surveillance for us to keep our premises secure.",we,collect,"images or videos related to you, including as a result of video surveillance for us to keep our premises secure",[],"images or videos related to you, a result of video surveillance"
141,"We may collect data about your location, which can be either precise or imprecise",we,collect,"your location, which can be either precise or imprecise",[],your location
142,"We may collect data related to your healthcare, including prior authorization for payment of healthcare services, patient engagement, and support services, and prescription information.",we,collect,"healthcare, including prior authorization for payment of healthcare services, patient engagement, and support services, and prescription information",[],"healthcare, patient engagement, support services, prescription information"
143,"We may collect data related to your biometrics, such as fingerprints, voiceprints, or other unique physical characteristics.",we,collect,"biometrics, such as fingerprints, voiceprints, or other unique physical characteristics",[],"biometrics, fingerprints, voiceprints, other unique physical characteristics"
144,"we may collect internet protocol address, your login data, device type and version, browser type and version, time zone setting and location, browser plug-in types and versions, operating system and platform and other technology on the devices you use to access our apps, services and website.",we,collect,"internet protocol address, your login data, device type and version, browser type and version, time zone setting and location, browser plug-in types and versions, operating system and platform and other technology on the devices you use to access our apps, services and website",[],"internet protocol address, your login data, device type and version, browser type and version, time zone setting, location, browser plug-in types and versions, operating system, platform, other technology on the devices you use to access our apps, services and website"
145,"we may collect your username and password, your interests, preferences, feedback and survey responses",we,collect,"username and password, your interests, preferences, feedback and survey responses",[],"username and password, your interests, preferences, feedback and survey responses"
146,"we will collect Contact information, such as name and email address",we,collect,"Contact information, such as name and email address",[],"Contact information, name, email address"
147,"we will collect Player name and password, Profile information, such as profile photo ",we,collect,"Player name and password, Profile information, such as profile photo ",[],"Player name, password, Profile information, profile photo "
148,"we will collect Your messages to the Service, such as chat logs and player support tickets ",we,collect,"Your messages to the Service, such as chat logs and player support tickets ",[],"Your messages to the Service, chat logs, player support tickets "
149,"we will collect Other data you choose to give us, such as data to identify a lost account or particular purchase",we,collect,"Other data you choose to give us, such as data to identify a lost account or particular purchase",to identify a lost account or particular purchase,"Other data you choose to give us, data to identify a lost account or particular purchase"
150,"We collect your first and last name, e-mail address, postal address, phone number, company name, job title, and other similar contact data.",we,collect,"first and last name, e-mail address, postal address, phone number, company name, job title, and other similar contact data",[],"first and last name, e-mail address, postal address, phone number, company name, job title, other similar contact data"
151,"We collect passwords, password hints, and other information for authentication and account access.",we,collect,"passwords, password hints, and other information for authentication and account access",for authentication and account access.,"passwords, password hints, other information for authentication and account access"
152,We collect demographic information including your country and size of your company.,we,collect,demographic information including your country and size of your company,[],"demographic information, your country, size of your company"
153,"We collect the content of communications you send to us, such as feedback, questions, or information you provide to us.",we,collect,"content of communications you send to us, such as feedback, questions, or information you provide to us",[],"content of communications you send to us, feedback, questions, information you provide to us"
154,"We collect IP address, MAC address, device advertising Id, and other unique identifiers for the particular device",we,collect,"IP address, MAC address, device advertising Id, and other unique identifiers for the particular device",[],"IP address, MAC address, device advertising Id, unique identifiers for the particular device"
155,"We collect data about your device?? location, latitude/longitude data or location derived from an IP address.",we,collect,"data about your device?? location, latitude/longitude data or location derived from an IP address",[],"data about your device location, latitude, longitude data, location derived from an IP address"
156,"we collect Contact information, such as name, e-mail address, postal address, and telephone number",we,collect,"Contact information, such as name, e-mail address, postal address, and telephone number",[],"Contact information, name, e-mail address, postal address, telephone number"
157,"we collect Unique identifiers, such as a user name or password",we,collect,"Unique identifiers, such as a user name or password",[],"Unique identifiers, a user name, password"
158,"we collect Demographic information, such as age and gender",we,collect,"Demographic information, such as age and gender",[],"Demographic information, age, gender"
159,"we collect Financial information, such as credit card or other payment information",we,collect,"Financial information, such as credit card or other payment information",[],"Financial information, credit card, other payment information"
160,we collect Communications preferences,we,collect,Communications preferences,[],Communications preferences
161,We also may automatically collect Your Internet Protocol address,we,collect,Your Internet Protocol address,[],Your Internet Protocol address
162,"We also may automatically collect Other unique identifiers, including mobile device identification numbers",we,collect,"Other unique identifiers, including mobile device identification numbers",[],"Other unique identifiers, mobile device identification numbers"
163,"we may collect Contact details, last name, first name, telephone number, email)",we,collect,"Contact details, last name, first name, telephone number, email)",[],"Contact details, last name, first name, telephone number, email"
164,"we may collect Personal information, date of birth, nationality)",we,collect,"Personal information, date of birth, nationality",[],"Personal information, date of birth, nationality"
165,"we may collect name, phone number, age, sex",we,collect,"name, phone number, age, sex",[],"name, phone number, age, sex"
166,"we may collect contact data, signature, IP address and travel details",we,collect,"contact data, signature, IP address and travel details",[],"contact data, signature, IP address and travel details"
167,we may also receive the payment card you used to make payment,we,receive, payment card,to make payment, payment card
168,"we may collect age and gender, as well as interests if you register for an Account.",we,collect,age and gender,[],"age, gender"
169,"your name, phone number, postal address, email address, and certain payment information may be collected when you use our service",[],collect,"your name, phone number, postal address, email address, and certain payment information",[],"your name, phone number, postal address, email address, certain payment information"
170,We may collect your personal information during your interactions with our Sites,we,collect,your personal information,[],your personal information
171,"Fabric use unique device identifier, geographic location information for crash log collection",Fabric,use,"unique device identifier, geographic location information",for crash log collection,"unique device identifier, geographic location information"
172,"Firebase use software usage and click history, unique device identifier, geographic location information for data statistics and analysis",Firebase,use,"software usage and click history, unique device identifier, geographic location information",for data statistics and analysis,"software usage, click history, unique device identifier, geographic location information"
173,"Bugly use crash log, unique device identifier for crash log collection",Bugly,use,"crash log, unique device identifier",for crash log collection,"crash log, unique device identifier"
174,"mi push use login account, unique device identifier to provide personalized push for mi mobile phone",mi push,use,"login account, unique device identifier",to provide personalized push for mi mobile phone,"login account, unique device identifier"
175,"umeng push use device mac address, unique device identifier, ip address for personalized push",umeng push,use,"device mac address, unique device identifier, ip address",for personalized push,"device mac address, unique device identifier, ip address"
176,"sharing sdk use device mac address, unique device identifier for automatic sharing the shooting results to third party platforms by users",sharing sdk,use,"device mac address, unique device identifier",for automatic sharing the shooting results to third party platforms by users,"device mac address, unique device identifier"
177,"sharing sdk device mac address, unique device identifier for automatic sharing the shooting results to third party platforms by users",[],use,"device mac address, unique device identifier",for automatic sharing the shooting results to third party platforms by users,"device mac address, unique device identifier"
178,we will receive your email address and your ip address to help resolve your query,we,receive,your email address and your ip address,to help resolve your query,"your email address, your ip address"
179,"your user name, photos and other public profile information will be used to ensure you get to meet as many people as possible on bibi live",[],use,"your user name, photos and other public profile information",to ensure you get to meet as many people as possible on bibi live,"your user name, photos, other public profile information"
180,we will use your sexual preferences and ethnic background to create your profile,we,use,sexual preferences and ethnic background,to create your profile,"sexual preferences, ethnic background"
181,your name and email address need to be provide to create an account,[],provide,your name and email address,to create an account,"your name, email address"
182,navico may also use anonymized historical location information to improve the service,navico,use,anonymized historical location information,to improve the service,anonymized historical location information
183,The location information from your mobile device is used to tailor the service experience,[],use,The location information from your mobile device,to tailor the service experience,The location information from your mobile device
184,"traffic data, location data, weblogs and other communication data is required for our own billing purposes",[],require,"traffic data, location data, weblogs and other communication data",for our own billing purposes,"traffic data, location data, weblogs, other communication data"
185,"your name, email address and a password are used to create an account ",[],use,"your name, email address and a password",to create an account ,"your name, email address, a password"
186,you may provide payment information such as your payment card or other payment details to make a payment on bikecomputer,you,provide,payment information such as your payment card or other payment details,to make a payment on bikecomputer,"payment information, your payment card, other payment details"
187,we collect and process location information to allow you to sign up for and to use the services,we,collect,location information,to allow you to sign up for and to use the services,location information
188,your location data and speed are used to provide you with your training statistics,[],use,location data and speed,to provide you with your training statistics,"location data, speed"
189,we use your health information such as heart rate to provide you with statistics,we,use,your health information such as heart rate,to provide you with statistics,"your health information, heart rate"
190,"we may collect passwords, password hints, and similar security information used for authentication and takeda account access",we,collect,"passwords, password hints, and similar security information",for authentication and takeda account access,"passwords, password hints, similar security information"
191,"Our app may ask that you provide basic contact information, your name, age, pin code, contact number and email address to interact with you",Our app,ask,"basic contact information, your name, age, pin code, contact number and email address ",to interact with you,"basic contact information, your name, age, pin code, contact number, email address "
192,"our app may ask that you provide basic contact information, your name, age, pin code, contact number and email address to continue providing the services",Our app,ask,"basic contact information, your name, age, pin code, contact number and email address",to continue providing the services,"basic contact information, your name, age, pin code, contact number, email address"
193,"Our payment gateway provider may collect your purchase, address or billing information, including your credit card number and expiration date etc to complete service payment",Our payment gateway provider ,collect,"your purchase, address or billing information, including your credit card number and expiration date",to complete service payment,"your purchase, address or billing information, your credit card number, expiration date"
194,"Access friend lists, birthdays, photos, status, status updates are used to access to third party accounts",[],use,"Access friend lists, birthdays, photos, status, status updates",to access to third party accounts,"Access friend lists, birthdays, photos, status, status updates"
195,personal data are used to handle payments,[],use,personal data,to handle payments,personal data
196,your email address and encrypted password hash may be processed for the purposes of operating our website,[],process,your email address and encrypted password hash,for the purposes of operating our website,"your email address, encrypted password hash"
197,your email address and encrypted password hash may be processed for the purposes of providing our services,[],process,your email address and encrypted password hash,for the purposes of providing our services,"your email address, encrypted password hash"
198,your email address and encrypted password hash may be processed for the purposes of ensuring the security of our website and services,[],process,your email address and encrypted password hash,for the purposes of ensuring the security of our website and services,"your email address, encrypted password hash"
199,your email address and encrypted password hash may be processed for the purposes of communicating with you about the app,[],process,your email address and encrypted password hash,for the purposes of communicating with you about the app,"your email address, encrypted password hash"
200,"your gender, age, weight and height may be processed for the purpose of calculating your caloric burn during exercise activity",[],process,"your gender, age, weight and height",for the purpose of calculating your caloric burn during exercise activity,"your gender, age, weight, height"
